"city_name","city_cod","state","state_cod"
"Alvorada","4300604","RS","43"
"Ananindeua","1500800","PA","15"
"Anápolis","5201108","GO","52"
"Anta Gorda","4300703","RS","43"
"Aparecida de Goiânia","5201405","GO","52"
"Aquiraz","2301000","CE","23"
"Aracaju","2800308","SE","28"
"Bagé","4301602","RS","43"
"Balneário Arroio do Silva","4201950","SC","42"
"Balneário Camboriú","4202008","SC","42"
"Barra Mansa","3300407","RJ","33"
"Barreiras","2903201","BA","29"
"Barueri","3505708","SP","35"
"Belém","1501402","PA","15"
"Belo Horizonte","3106200","MG","31"
"Belo Jardim","2601706","PE","26"
"Bento Gonçalves","4302105","RS","43"
"Betim","3106705","MG","31"
"Blumenau","4202404","SC","42"
"Boa Vista","1400100","RR","14"
"Bom Despacho","3107406","MG","31"
"Braço do Norte","4202800","SC","42"
"Brasília","5300108","DF","53"
"Brumado","2904605","BA","29"
"Cachoeiro de Itapemirim","3201209","ES","32"
"Caieiras","3509007","SP","35"
"Camaçari","2905701","BA","29"
"Camboriú","4203204","SC","42"
"Campinas","3509502","SP","35"
"Campo Bom","4303905","RS","43"
"Campo Grande","5002704","MS","50"
"Campo Largo","4104204","PR","41"
"Campo Mourão","4104303","PR","41"
"Campos Altos","3111507","MG","31"
"Campos dos Goytacazes","3301009","RJ","33"
"Canarana","2906204","BA","29"
"Canelinha","4203709","SC","42"
"Canoas","4304606","RS","43"
"Capão da Canoa","4304630","RS","43"
"Carapicuíba","3510609","SP","35"
"Cariacica","3201308","ES","32"
"Carlos Barbosa","4304804","RS","43"
"Caruaru","2604106","PE","26"
"Cascavel","4104808","PR","41"
"Catalão","5205109","GO","52"
"Caxias do Sul","4305108","RS","43"
"Cerro Grande do Sul","4305173","RS","43"
"Chapecó","4204202","SC","42"
"Charqueadas","4305355","RS","43"
"Cianorte","4105508","PR","41"
"Colombo","4105805","PR","41"
"Conceição do Jacuípe","2908507","BA","29"
"Conde","2908606","BA","29"
"Contagem","3118601","MG","31"
"Coronel Fabriciano","3119401","MG","31"
"Cotia","3513009","SP","35"
"Criciúma","4204608","SC","42"
"Cruzeiro do Sul","4306205","RS","43"
"Cuiabá","5103403","MT","51"
"Curitiba","4106902","PR","41"
"Divinópolis","3122306","MG","31"
"Dois Irmãos","4306403","RS","43"
"Dom Pedrito","4306601","RS","43"
"Duque de Caxias","3301702","RJ","33"
"Eldorado do Sul","4306767","RS","43"
"Embu das Artes","3515004","SP","35"
"Erechim","4307005","RS","43"
"Estância Velha","4307609","RS","43"
"Estrela","4307807","RS","43"
"Farroupilha","4307906","RS","43"
"Faxinal","4107603","PR","41"
"Feira de Santana","2910800","BA","29"
"Ferraz de Vasconcelos","3515707","SP","35"
"Florianópolis","4205407","SC","42"
"Fortaleza","2304400","CE","23"
"Fortim","2304459","CE","23"
"Foz do Iguaçu","4108304","PR","41"
"Garibaldi","4308607","RS","43"
"Gaspar","4205902","SC","42"
"Goiânia","5208707","GO","52"
"Gravataí","4309209","RS","43"
