"state","city_name","date","new_cases","city_cod","state_cod","count"
"AM","Manaus","2020-03-13",1,"1302603","13",1
"AM","Manaus","2020-03-18",1,"1302603","13",2
"AM","Manaus","2020-03-19",1,"1302603","13",3
"AM","Manaus","2020-03-20",4,"1302603","13",7
"AM","Manaus","2020-03-21",4,"1302603","13",11
"AM","Parintins","2020-03-22",1,"1303403","13",1
"AM","Manaus","2020-03-22",14,"1302603","13",25
"AM","Manaus","2020-03-23",6,"1302603","13",31
"AM","Parintins","2020-03-24",1,"1303403","13",2
"AM","Manaus","2020-03-24",14,"1302603","13",45
"AM","Manaus","2020-03-25",7,"1302603","13",52
