"city_name","total_casos","new_cases"
"Alagoinhas",1,1
"Ananindeua",0,2
"Barreiras",1,0
"Belo Horizonte",0,6
"Betim",0,2
"Boa Esperança",0,1
"Brumado",1,0
"Camaçari",1,0
"Canarana",1,0
"Castanhal",0,1
"Conceição do Jacuípe",1,0
"Conde",1,0
"Divinópolis",0,1
"Feira de Santana",9,1
"Governador Valadares",0,1
"Ilhéus",1,0
"Imperatriz",0,1
"Itabuna",2,1
"Itaituba",0,1
"Jequié",1,0
"Juazeiro",2,0
"Lagoa da Prata",0,1
"Lauro de Freitas",3,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",0,4
"Não informado",0,6
"Porto Seguro",10,2
"Prado",2,0
"Salvador",63,6
"São Domingos",1,0
"São Luís",0,1
"Teixeira de Freitas",1,0
