"state","city_name","date","new_cases","city_cod","state_cod","count"
"BA","Feira de Santana","2020-03-06",1,"2910800","29",1
"BA","Feira de Santana","2020-03-07",1,"2910800","29",2
"BA","Feira de Santana","2020-03-11",1,"2910800","29",3
"BA","Salvador","2020-03-13",3,"2927408","29",3
"BA","Feira de Santana","2020-03-13",1,"2910800","29",4
"BA","Feira de Santana","2020-03-15",1,"2910800","29",5
"BA","Salvador","2020-03-15",1,"2927408","29",4
"BA","Porto Seguro","2020-03-16",1,"2925303","29",1
"BA","Salvador","2020-03-17",3,"2927408","29",7
"BA","Prado","2020-03-17",1,"2925501","29",1
"BA","Porto Seguro","2020-03-17",2,"2925303","29",3
"BA","Porto Seguro","2020-03-18",1,"2925303","29",4
"BA","Salvador","2020-03-18",10,"2927408","29",17
"BA","Itabuna","2020-03-19",1,"2914802","29",1
"BA","Lauro de Freitas","2020-03-19",2,"2919207","29",2
"BA","Salvador","2020-03-19",1,"2927408","29",18
"BA","Camaçari","2020-03-20",1,"2905701","29",1
"BA","Feira de Santana","2020-03-20",1,"2910800","29",6
"BA","Lauro de Freitas","2020-03-20",1,"2919207","29",3
"BA","Porto Seguro","2020-03-21",1,"2925303","29",5
"BA","Prado","2020-03-21",1,"2925501","29",2
"BA","Salvador","2020-03-21",5,"2927408","29",23
"BA","Conceição do Jacuípe","2020-03-22",1,"2908507","29",1
"BA","Barreiras","2020-03-22",1,"2903201","29",1
"BA","Porto Seguro","2020-03-22",2,"2925303","29",7
"BA","Salvador","2020-03-22",10,"2927408","29",33
"BA","Brumado","2020-03-23",1,"2904605","29",1
"BA","Jequié","2020-03-23",1,"2918001","29",1
"BA","Porto Seguro","2020-03-23",1,"2925303","29",8
"BA","Juazeiro","2020-03-23",1,"2918407","29",1
"BA","Salvador","2020-03-23",4,"2927408","29",37
"BA","Teixeira de Freitas","2020-03-24",1,"2931350","29",1
"BA","Juazeiro","2020-03-24",1,"2918407","29",2
"BA","Conde","2020-03-24",1,"2908606","29",1
"BA","Feira de Santana","2020-03-24",2,"2910800","29",8
"BA","Salvador","2020-03-24",11,"2927408","29",48
"BA","Canarana","2020-03-25",1,"2906204","29",1
"BA","São Domingos","2020-03-25",1,"2928950","29",1
"BA","Salvador","2020-03-25",10,"2927408","29",58
