"state","city_name","date","new_cases","count"
"BA","Alagoinhas","2020-03-26",1,1
"BA","Barreiras","2020-03-22",1,1
"BA","Brumado","2020-03-23",1,1
"BA","Camaçari","2020-03-20",1,1
"BA","Canarana","2020-03-25",1,1
"BA","Conceição do Jacuípe","2020-03-22",1,1
"BA","Conde","2020-03-24",1,1
"BA","Feira de Santana","2020-03-06",1,1
"BA","Feira de Santana","2020-03-07",1,2
"BA","Feira de Santana","2020-03-11",1,3
"BA","Feira de Santana","2020-03-13",1,4
"BA","Feira de Santana","2020-03-15",1,5
"BA","Feira de Santana","2020-03-20",1,6
"BA","Feira de Santana","2020-03-24",2,8
"BA","Feira de Santana","2020-03-26",1,9
"BA","Ilhéus","2020-03-25",1,1
"BA","Itabuna","2020-03-19",1,1
"BA","Itabuna","2020-03-26",1,2
"BA","Jequié","2020-03-23",1,1
"BA","Juazeiro","2020-03-23",1,1
"BA","Juazeiro","2020-03-24",1,2
"BA","Lauro de Freitas","2020-03-19",2,2
"BA","Lauro de Freitas","2020-03-20",1,3
"BA","Porto Seguro","2020-03-16",1,1
"BA","Porto Seguro","2020-03-17",2,3
"BA","Porto Seguro","2020-03-18",1,4
"BA","Porto Seguro","2020-03-21",1,5
"BA","Porto Seguro","2020-03-22",2,7
"BA","Porto Seguro","2020-03-23",1,8
"BA","Porto Seguro","2020-03-26",2,10
"BA","Prado","2020-03-17",1,1
"BA","Prado","2020-03-21",1,2
"BA","Salvador","2020-03-13",3,3
"BA","Salvador","2020-03-15",1,4
"BA","Salvador","2020-03-17",3,7
"BA","Salvador","2020-03-18",10,17
"BA","Salvador","2020-03-19",1,18
"BA","Salvador","2020-03-21",5,23
"BA","Salvador","2020-03-22",10,33
"BA","Salvador","2020-03-23",4,37
"BA","Salvador","2020-03-24",11,48
"BA","Salvador","2020-03-25",9,57
"BA","Salvador","2020-03-26",6,63
"BA","São Domingos","2020-03-25",1,1
"BA","Teixeira de Freitas","2020-03-24",1,1
