"state","city_name","date","new_cases","city_cod","state_cod","count"
"CE","Fortaleza","2020-03-15",3,"2304400","23",3
"CE","Aquiraz","2020-03-16",1,"2301000","23",1
"CE","Fortaleza","2020-03-16",5,"2304400","23",8
"CE","Fortaleza","2020-03-17",2,"2304400","23",10
"CE","Sobral","2020-03-18",1,"2312908","23",1
"CE","Fortaleza","2020-03-18",8,"2304400","23",18
"CE","Fortaleza","2020-03-19",4,"2304400","23",22
"CE","Fortaleza","2020-03-20",42,"2304400","23",64
"CE","Juazeiro do Norte","2020-03-20",1,"2307304","23",1
"CE","Fortim","2020-03-20",1,"2304459","23",1
"CE","Fortaleza","2020-03-21",13,"2304400","23",77
"CE","Aquiraz","2020-03-21",3,"2301000","23",4
"CE","Fortaleza","2020-03-22",40,"2304400","23",117
"CE","Aquiraz","2020-03-22",1,"2301000","23",5
"CE","Fortaleza","2020-03-23",36,"2304400","23",153
"CE","Sobral","2020-03-23",2,"2312908","23",3
"CE","Aquiraz","2020-03-23",1,"2301000","23",6
"CE","Fortaleza","2020-03-24",19,"2304400","23",172
"CE","Mauriti","2020-03-24",1,"2308104","23",1
"CE","Sobral","2020-03-24",1,"2312908","23",4
"CE","Fortaleza","2020-03-25",26,"2304400","23",198
