"state","city_name","date","new_cases","city_cod","state_cod","count"
"DF","Brasília","2020-03-07",1,"5300108","53",1
"DF","Brasília","2020-03-11",1,"5300108","53",2
"DF","Brasília","2020-03-14",6,"5300108","53",8
"DF","Brasília","2020-03-15",6,"5300108","53",14
"DF","Brasília","2020-03-18",20,"5300108","53",34
"DF","Brasília","2020-03-19",8,"5300108","53",42
"DF","Brasília","2020-03-20",45,"5300108","53",87
"DF","Brasília","2020-03-21",25,"5300108","53",112
"DF","Brasília","2020-03-22",22,"5300108","53",134
"DF","Brasília","2020-03-23",12,"5300108","53",146
"DF","Brasília","2020-03-24",31,"5300108","53",177
"DF","Brasília","2020-03-25",14,"5300108","53",191
