"state","city_name","date","new_cases","city_cod","state_cod","count"
"ES","Vila Velha","2020-03-05",1,"3205200","32",1
"ES","Vila Velha","2020-03-12",1,"3205200","32",2
"ES","Vila Velha","2020-03-14",1,"3205200","32",3
"ES","Linhares","2020-03-14",1,"3203205","32",1
"ES","Vitória","2020-03-16",2,"3205309","32",2
"ES","Vila Velha","2020-03-16",2,"3205200","32",5
"ES","Vitória","2020-03-18",3,"3205309","32",5
"ES","Vila Velha","2020-03-19",2,"3205200","32",7
"ES","Cachoeiro de Itapemirim","2020-03-20",1,"3201209","32",1
"ES","Vitória","2020-03-20",1,"3205309","32",6
"ES","Cariacica","2020-03-20",1,"3201308","32",1
"ES","Vitória","2020-03-21",5,"3205309","32",11
"ES","Vila Velha","2020-03-21",4,"3205200","32",11
"ES","Linhares","2020-03-21",1,"3203205","32",2
"ES","Serra","2020-03-23",1,"3205002","32",1
"ES","Santa Teresa","2020-03-23",1,"3204609","32",1
"ES","Vila Velha","2020-03-23",1,"3205200","32",12
"ES","Vitória","2020-03-23",4,"3205309","32",15
"ES","Vitória","2020-03-24",1,"3205309","32",16
"ES","Linhares","2020-03-24",1,"3203205","32",3
"ES","Vila Velha","2020-03-24",5,"3205200","32",17
