"state","city_name","date","new_cases","count"
"ES","Cachoeiro de Itapemirim","2020-03-20",1,1
"ES","Cariacica","2020-03-20",1,1
"ES","Linhares","2020-03-14",1,1
"ES","Linhares","2020-03-21",1,2
"ES","Linhares","2020-03-24",1,3
"ES","Santa Teresa","2020-03-23",1,1
"ES","Serra","2020-03-23",1,1
"ES","Vila Velha","2020-03-05",1,1
"ES","Vila Velha","2020-03-12",1,2
"ES","Vila Velha","2020-03-14",1,3
"ES","Vila Velha","2020-03-16",2,5
"ES","Vila Velha","2020-03-19",2,7
"ES","Vila Velha","2020-03-21",4,11
"ES","Vila Velha","2020-03-23",1,12
"ES","Vila Velha","2020-03-24",5,17
"ES","Vitória","2020-03-16",2,2
"ES","Vitória","2020-03-18",3,5
"ES","Vitória","2020-03-20",1,6
"ES","Vitória","2020-03-21",5,11
"ES","Vitória","2020-03-23",4,15
"ES","Vitória","2020-03-24",1,16
