"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Anápolis",3,0
"Aparecida de Goiânia",2,0
"Belo Horizonte",0,6
"Betim",0,2
"Boa Esperança",0,1
"Castanhal",0,1
"Catalão",1,0
"Divinópolis",0,1
"Feira de Santana",0,1
"Goiânia",15,0
"Governador Valadares",0,1
"Imperatriz",0,1
"Itabuna",0,1
"Itaituba",0,1
"Jataí",1,0
"Lagoa da Prata",0,1
"Luziânia",1,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",0,4
"Não informado",0,6
"Porto Seguro",0,2
"Rio Verde",6,0
"Salvador",0,6
"Silvânia",1,0
"São Luís",0,1
"Valparaíso de Goiás",2,0
