"state","city_name","date","new_cases","city_cod","state_cod","count"
"GO","Rio Verde","2020-03-12",1,"5218805","52",1
"GO","Goiânia","2020-03-12",2,"5208707","52",2
"GO","Goiânia","2020-03-14",1,"5208707","52",3
"GO","Rio Verde","2020-03-16",1,"5218805","52",2
"GO","Anápolis","2020-03-16",2,"5201108","52",2
"GO","Goiânia","2020-03-16",2,"5208707","52",5
"GO","Rio Verde","2020-03-17",1,"5218805","52",3
"GO","Aparecida de Goiânia","2020-03-18",1,"5201405","52",1
"GO","Jataí","2020-03-18",1,"5211909","52",1
"GO","Goiânia","2020-03-19",3,"5208707","52",8
"GO","Goiânia","2020-03-20",2,"5208707","52",10
"GO","Goiânia","2020-03-22",1,"5208707","52",11
"GO","Catalão","2020-03-22",1,"5205109","52",1
"GO","Rio Verde","2020-03-22",2,"5218805","52",5
"GO","Aparecida de Goiânia","2020-03-23",1,"5201405","52",2
"GO","Goiânia","2020-03-23",1,"5208707","52",12
"GO","Valparaíso de Goiás","2020-03-24",2,"5221858","52",2
"GO","Anápolis","2020-03-24",1,"5201108","52",3
"GO","Goiânia","2020-03-24",3,"5208707","52",15
