"state","city_name","date","new_cases","count"
"GO","Anápolis","2020-03-16",2,2
"GO","Anápolis","2020-03-24",1,3
"GO","Aparecida de Goiânia","2020-03-18",1,1
"GO","Aparecida de Goiânia","2020-03-23",1,2
"GO","Catalão","2020-03-22",1,1
"GO","Goiânia","2020-03-12",2,2
"GO","Goiânia","2020-03-14",1,3
"GO","Goiânia","2020-03-16",2,5
"GO","Goiânia","2020-03-19",3,8
"GO","Goiânia","2020-03-20",2,10
"GO","Goiânia","2020-03-22",1,11
"GO","Goiânia","2020-03-23",1,12
"GO","Goiânia","2020-03-24",3,15
"GO","Jataí","2020-03-18",1,1
"GO","Luziânia","2020-03-25",1,1
"GO","Rio Verde","2020-03-12",1,1
"GO","Rio Verde","2020-03-16",1,2
"GO","Rio Verde","2020-03-17",1,3
"GO","Rio Verde","2020-03-22",2,5
"GO","Rio Verde","2020-03-25",1,6
"GO","Silvânia","2020-03-25",1,1
"GO","Valparaíso de Goiás","2020-03-24",2,2
