"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Belo Horizonte",96,6
"Betim",3,2
"Boa Esperança",1,1
"Bom Despacho",1,0
"Campos Altos",1,0
"Castanhal",0,1
"Contagem",2,0
"Coronel Fabriciano",1,0
"Divinópolis",2,1
"Feira de Santana",0,1
"Governador Valadares",1,1
"Imperatriz",0,1
"Ipatinga",1,0
"Itabuna",0,1
"Itaituba",0,1
"Juiz de Fora",8,0
"Lagoa da Prata",2,1
"Mariana",2,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",11,4
"Não informado",7,6
"Patrocínio",1,0
"Porto Seguro",0,2
"Poços de Caldas",1,0
"Salvador",0,6
"Sete Lagoas",2,0
"São João del Rei",1,0
"São Luís",0,1
"Timóteo",1,0
"Uberaba",3,0
"Uberlândia",7,0
