"state","city_name","date","new_cases","city_cod","state_cod","count"
"MG","Divinópolis","2020-03-09",1,"3122306","31",1
"MG","Ipatinga","2020-03-12",1,"3131307","31",1
"MG","Patrocínio","2020-03-14",1,"3148103","31",1
"MG","Juiz de Fora","2020-03-14",1,"3136702","31",1
"MG","Juiz de Fora","2020-03-16",1,"3136702","31",2
"MG","Belo Horizonte","2020-03-16",1,"3106200","31",1
"MG","Uberlândia","2020-03-17",1,"3170206","31",1
"MG","Sete Lagoas","2020-03-17",1,"3167202","31",1
"MG","Coronel Fabriciano","2020-03-17",1,"3119401","31",1
"MG","Nova Lima","2020-03-17",1,"3144805","31",1
"MG","Belo Horizonte","2020-03-17",4,"3106200","31",5
"MG","Belo Horizonte","2020-03-18",5,"3106200","31",10
"MG","Uberlândia","2020-03-19",1,"3170206","31",2
"MG","Nova Lima","2020-03-19",1,"3144805","31",2
"MG","Belo Horizonte","2020-03-19",8,"3106200","31",18
"MG","Uberaba","2020-03-20",1,"3170107","31",1
"MG","Poços de Caldas","2020-03-20",1,"3151800","31",1
"MG","Nova Lima","2020-03-20",2,"3144805","31",4
"MG","Juiz de Fora","2020-03-20",2,"3136702","31",4
"MG","Belo Horizonte","2020-03-20",3,"3106200","31",21
"MG","Uberlândia","2020-03-21",2,"3170206","31",4
"MG","Uberaba","2020-03-21",2,"3170107","31",3
"MG","São João del Rei","2020-03-21",1,"3162500","31",1
"MG","Mariana","2020-03-21",1,"3140001","31",1
"MG","Não informado","2020-03-21",1,"None","None",53
"MG","Belo Horizonte","2020-03-21",10,"3106200","31",31
"MG","Uberlândia","2020-03-23",3,"3170206","31",7
"MG","Timóteo","2020-03-23",1,"3168705","31",1
"MG","Sete Lagoas","2020-03-23",1,"3167202","31",2
"MG","Nova Lima","2020-03-23",3,"3144805","31",7
"MG","Mariana","2020-03-23",1,"3140001","31",2
"MG","Lagoa da Prata","2020-03-23",1,"3137205","31",1
"MG","Juiz de Fora","2020-03-23",4,"3136702","31",8
"MG","Contagem","2020-03-23",2,"3118601","31",2
"MG","Campos Altos","2020-03-23",1,"3111507","31",1
"MG","Bom Despacho","2020-03-23",1,"3107406","31",1
"MG","Betim","2020-03-23",1,"3106705","31",1
"MG","Belo Horizonte","2020-03-23",30,"3106200","31",61
"MG","Belo Horizonte","2020-03-24",26,"3106200","31",87
"MG","Belo Horizonte","2020-03-25",3,"3106200","31",90
