"state","city_name","date","new_cases","count"
"MG","Belo Horizonte","2020-03-16",1,1
"MG","Belo Horizonte","2020-03-17",4,5
"MG","Belo Horizonte","2020-03-18",5,10
"MG","Belo Horizonte","2020-03-19",8,18
"MG","Belo Horizonte","2020-03-20",3,21
"MG","Belo Horizonte","2020-03-21",10,31
"MG","Belo Horizonte","2020-03-23",30,61
"MG","Belo Horizonte","2020-03-24",26,87
"MG","Belo Horizonte","2020-03-25",3,90
"MG","Belo Horizonte","2020-03-26",6,96
"MG","Betim","2020-03-23",1,1
"MG","Betim","2020-03-26",2,3
"MG","Boa Esperança","2020-03-26",1,1
"MG","Bom Despacho","2020-03-23",1,1
"MG","Campos Altos","2020-03-23",1,1
"MG","Contagem","2020-03-23",2,2
"MG","Coronel Fabriciano","2020-03-17",1,1
"MG","Divinópolis","2020-03-09",1,1
"MG","Divinópolis","2020-03-26",1,2
"MG","Governador Valadares","2020-03-26",1,1
"MG","Ipatinga","2020-03-12",1,1
"MG","Juiz de Fora","2020-03-14",1,1
"MG","Juiz de Fora","2020-03-16",1,2
"MG","Juiz de Fora","2020-03-20",2,4
"MG","Juiz de Fora","2020-03-23",4,8
"MG","Lagoa da Prata","2020-03-23",1,1
"MG","Lagoa da Prata","2020-03-26",1,2
"MG","Mariana","2020-03-21",1,1
"MG","Mariana","2020-03-23",1,2
"MG","Nova Lima","2020-03-17",1,1
"MG","Nova Lima","2020-03-19",1,2
"MG","Nova Lima","2020-03-20",2,4
"MG","Nova Lima","2020-03-23",3,7
"MG","Nova Lima","2020-03-26",4,11
"MG","Não informado","2020-03-21",1,49
"MG","Não informado","2020-03-26",6,55
"MG","Patrocínio","2020-03-14",1,1
"MG","Poços de Caldas","2020-03-20",1,1
"MG","Sete Lagoas","2020-03-17",1,1
"MG","Sete Lagoas","2020-03-23",1,2
"MG","São João del Rei","2020-03-21",1,1
"MG","Timóteo","2020-03-23",1,1
"MG","Uberaba","2020-03-20",1,1
"MG","Uberaba","2020-03-21",2,3
"MG","Uberlândia","2020-03-17",1,1
"MG","Uberlândia","2020-03-19",1,2
"MG","Uberlândia","2020-03-21",2,4
"MG","Uberlândia","2020-03-23",3,7
