"state","city_name","date","new_cases","city_cod","state_cod","count"
"PE","Recife","2020-03-12",2,"2611606","26",2
"PE","Recife","2020-03-14",5,"2611606","26",7
"PE","Recife","2020-03-15",1,"2611606","26",8
"PE","Recife","2020-03-16",7,"2611606","26",15
"PE","Jaboatão dos Guararapes","2020-03-16",2,"2607901","26",2
"PE","Belo Jardim","2020-03-16",1,"2601706","26",1
"PE","Recife","2020-03-17",1,"2611606","26",16
"PE","Recife","2020-03-18",3,"2611606","26",19
"PE","Jaboatão dos Guararapes","2020-03-19",1,"2607901","26",3
"PE","Recife","2020-03-19",5,"2611606","26",24
"PE","Recife","2020-03-20",3,"2611606","26",27
"PE","Recife","2020-03-21",2,"2611606","26",29
"PE","Olinda","2020-03-22",1,"2609600","26",1
"PE","Recife","2020-03-22",3,"2611606","26",32
"PE","Petrolina","2020-03-23",1,"2611101","26",1
"PE","Olinda","2020-03-23",1,"2609600","26",2
"PE","Caruaru","2020-03-23",1,"2604106","26",1
"PE","Recife","2020-03-23",2,"2611606","26",34
"PE","Petrolina","2020-03-25",1,"2611101","26",2
"PE","Olinda","2020-03-25",1,"2609600","26",3
"PE","Recife","2020-03-25",2,"2611606","26",36
