"state","city_name","date","new_cases","count"
"PE","Belo Jardim","2020-03-16",1,1
"PE","Caruaru","2020-03-23",1,1
"PE","Jaboatão dos Guararapes","2020-03-16",2,2
"PE","Jaboatão dos Guararapes","2020-03-19",1,3
"PE","Olinda","2020-03-22",1,1
"PE","Olinda","2020-03-23",1,2
"PE","Olinda","2020-03-25",1,3
"PE","Petrolina","2020-03-23",1,1
"PE","Petrolina","2020-03-25",1,2
"PE","Recife","2020-03-12",2,2
"PE","Recife","2020-03-14",5,7
"PE","Recife","2020-03-15",1,8
"PE","Recife","2020-03-16",7,15
"PE","Recife","2020-03-17",1,16
"PE","Recife","2020-03-18",3,19
"PE","Recife","2020-03-19",5,24
"PE","Recife","2020-03-20",3,27
"PE","Recife","2020-03-21",2,29
"PE","Recife","2020-03-22",3,32
"PE","Recife","2020-03-23",2,34
"PE","Recife","2020-03-25",2,36
