"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Belo Horizonte",0,6
"Betim",0,2
"Boa Esperança",0,1
"Campo Largo",1,0
"Campo Mourão",1,0
"Cascavel",2,0
"Castanhal",0,1
"Cianorte",5,0
"Colombo",2,0
"Curitiba",65,0
"Divinópolis",0,1
"Faxinal",1,0
"Feira de Santana",0,1
"Foz do Iguaçu",5,0
"Governador Valadares",0,1
"Guaíra",1,0
"Imperatriz",0,1
"Itabuna",0,1
"Itaituba",0,1
"Lagoa da Prata",0,1
"Londrina",3,0
"Maringá",2,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",0,4
"Não informado",0,6
"Paranavaí",1,0
"Pato Branco",1,0
"Pinhais",2,0
"Ponta Grossa",3,0
"Porto Seguro",0,2
"Salvador",0,6
"São Luís",0,1
"Telêmaco Borba",1,0
"Umuarama",1,0
