"state","city_name","date","new_cases","city_cod","state_cod","count"
"PR","Cianorte","2020-03-12",1,"4105508","41",1
"PR","Curitiba","2020-03-12",5,"4106902","41",5
"PR","Londrina","2020-03-17",1,"4113700","41",1
"PR","Cianorte","2020-03-17",1,"4105508","41",2
"PR","Campo Largo","2020-03-17",1,"4104204","41",1
"PR","Curitiba","2020-03-17",2,"4106902","41",7
"PR","Foz do Iguaçu","2020-03-18",1,"4108304","41",1
"PR","Maringá","2020-03-18",1,"4115200","41",1
"PR","Curitiba","2020-03-18",1,"4106902","41",8
"PR","Curitiba","2020-03-19",9,"4106902","41",17
"PR","Guaíra","2020-03-20",1,"4108809","41",1
"PR","Londrina","2020-03-20",2,"4113700","41",3
"PR","Curitiba","2020-03-20",10,"4106902","41",27
"PR","Ponta Grossa","2020-03-21",1,"4119905","41",1
"PR","Umuarama","2020-03-21",1,"4128104","41",1
"PR","Pato Branco","2020-03-21",1,"4118501","41",1
"PR","Curitiba","2020-03-21",4,"4106902","41",31
"PR","Curitiba","2020-03-22",5,"4106902","41",36
"PR","Pinhais","2020-03-22",1,"4119152","41",1
"PR","Colombo","2020-03-22",1,"4105805","41",1
"PR","Cianorte","2020-03-22",1,"4105508","41",3
"PR","Foz do Iguaçu","2020-03-22",3,"4108304","41",4
"PR","Curitiba","2020-03-23",3,"4106902","41",39
"PR","Cianorte","2020-03-23",2,"4105508","41",5
"PR","Cascavel","2020-03-23",1,"4104808","41",1
"PR","Telêmaco Borba","2020-03-24",1,"4127106","41",1
"PR","Cascavel","2020-03-24",1,"4104808","41",2
"PR","Paranavaí","2020-03-24",1,"4118402","41",1
"PR","Curitiba","2020-03-24",7,"4106902","41",46
"PR","Curitiba","2020-03-25",19,"4106902","41",65
"PR","Campo Mourão","2020-03-25",1,"4104303","41",1
"PR","Faxinal","2020-03-25",1,"4107603","41",1
"PR","Maringá","2020-03-25",1,"4115200","41",2
"PR","Foz do Iguaçu","2020-03-25",1,"4108304","41",5
"PR","Pinhais","2020-03-25",1,"4119152","41",2
"PR","Ponta Grossa","2020-03-25",2,"4119905","41",3
"PR","Colombo","2020-03-25",1,"4105805","41",2
