"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Barra Mansa",1,0
"Belo Horizonte",0,6
"Betim",0,2
"Boa Esperança",0,1
"Campos dos Goytacazes",1,0
"Castanhal",0,1
"Divinópolis",0,1
"Duque de Caxias",2,0
"Feira de Santana",0,1
"Governador Valadares",0,1
"Guapimirim",1,0
"Imperatriz",0,1
"Itabuna",0,1
"Itaituba",0,1
"Lagoa da Prata",0,1
"Miguel Pereira",1,0
"Mossoró",0,1
"Natal",0,4
"Niterói",19,0
"Nova Lima",0,4
"Não informado",2,6
"Petrópolis",3,0
"Porto Seguro",0,2
"Resende",1,0
"Rio de Janeiro",329,0
"Salvador",0,6
"São Gonçalo",3,0
"São Luís",0,1
"Valença",1,0
"Volta Redonda",6,0
