"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Alvorada",2,0
"Ananindeua",0,2
"Anta Gorda",2,0
"Bagé",7,0
"Belo Horizonte",0,6
"Bento Gonçalves",3,0
"Betim",0,2
"Boa Esperança",0,1
"Campo Bom",2,0
"Canoas",6,0
"Capão da Canoa",2,0
"Carlos Barbosa",1,0
"Castanhal",0,1
"Caxias do Sul",3,0
"Cerro Grande do Sul",1,0
"Charqueadas",1,0
"Cruzeiro do Sul",1,0
"Divinópolis",0,1
"Dois Irmãos",1,0
"Dom Pedrito",1,0
"Eldorado do Sul",1,0
"Erechim",3,0
"Estrela",1,0
"Estância Velha",1,0
"Farroupilha",1,0
"Feira de Santana",0,1
"Garibaldi",1,0
"Governador Valadares",0,1
"Gravataí",1,0
"Imperatriz",0,1
"Itabuna",0,1
"Itaituba",0,1
"Ivoti",2,0
"Lagoa da Prata",0,1
"Lajeado",5,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",0,4
"Não informado",0,6
"Osório",1,0
"Paraí",1,0
"Pelotas",1,0
"Porto Alegre",87,0
"Porto Seguro",0,2
"Rio Grande",2,0
"Salvador",0,6
"Sant'Ana do Livramento",2,0
"Sant'ana do Livramento",2,0
"Santa Maria",2,0
"Santiago",1,0
"Santo Antônio da Patrulha",1,0
"Sapiranga",2,0
"Serafina Corrêa",2,0
"São Leopoldo",1,0
"São Luís",0,1
"Taquara",1,0
"Torres",6,0
"Viamão",1,0
