"state","city_name","date","new_cases","city_cod","state_cod","count"
"RS","Campo Bom","2020-03-10",1,"4303905","43",1
"RS","Caxias do Sul","2020-03-11",1,"4305108","43",1
"RS","Porto Alegre","2020-03-11",2,"4314902","43",2
"RS","Porto Alegre","2020-03-13",2,"4314902","43",4
"RS","Porto Alegre","2020-03-14",1,"4314902","43",5
"RS","Porto Alegre","2020-03-16",3,"4314902","43",8
"RS","Caxias do Sul","2020-03-16",1,"4305108","43",2
"RS","Porto Alegre","2020-03-17",8,"4314902","43",16
"RS","Campo Bom","2020-03-18",1,"4303905","43",2
"RS","Farroupilha","2020-03-18",1,"4307906","43",1
"RS","Torres","2020-03-18",1,"4321501","43",1
"RS","Porto Alegre","2020-03-18",5,"4314902","43",21
"RS","Bento Gonçalves","2020-03-18",1,"4302105","43",1
"RS","Serafina Corrêa","2020-03-19",1,"4320404","43",1
"RS","Sant'ana do Livramento","2020-03-19",1,"4317103","43",1
"RS","Erechim","2020-03-19",2,"4307005","43",2
"RS","Porto Alegre","2020-03-19",2,"4314902","43",23
"RS","Alvorada","2020-03-19",1,"4300604","43",1
"RS","Bagé","2020-03-19",2,"4301602","43",2
"RS","Torres","2020-03-20",1,"4321501","43",2
"RS","Alvorada","2020-03-20",1,"4300604","43",2
"RS","Canoas","2020-03-20",2,"4304606","43",2
"RS","Eldorado do Sul","2020-03-20",1,"4306767","43",1
"RS","Dois Irmãos","2020-03-20",1,"4306403","43",1
"RS","Taquara","2020-03-20",1,"4321204","43",1
"RS","São Leopoldo","2020-03-20",1,"4318705","43",1
"RS","Porto Alegre","2020-03-20",6,"4314902","43",29
"RS","Charqueadas","2020-03-20",1,"4305355","43",1
"RS","Erechim","2020-03-20",1,"4307005","43",3
"RS","Ivoti","2020-03-20",2,"4310801","43",2
"RS","Sant'ana do Livramento","2020-03-20",1,"4317103","43",2
"RS","Santa Maria","2020-03-21",1,"4316907","43",1
"RS","Porto Alegre","2020-03-21",6,"4314902","43",35
"RS","Lajeado","2020-03-21",1,"4311403","43",1
"RS","Estrela","2020-03-21",1,"4307807","43",1
"RS","Estância Velha","2020-03-21",1,"4307609","43",1
"RS","Carlos Barbosa","2020-03-21",1,"4304804","43",1
"RS","Viamão","2020-03-21",1,"4323002","43",1
"RS","Bento Gonçalves","2020-03-21",2,"4302105","43",3
"RS","Bagé","2020-03-21",1,"4301602","43",3
"RS","Osório","2020-03-22",1,"4313508","43",1
"RS","Torres","2020-03-22",1,"4321501","43",3
"RS","Bagé","2020-03-22",3,"4301602","43",6
"RS","Canoas","2020-03-22",1,"4304606","43",3
"RS","Santo Antônio da Patrulha","2020-03-22",1,"4317608","43",1
"RS","Lajeado","2020-03-22",2,"4311403","43",3
"RS","Porto Alegre","2020-03-22",5,"4314902","43",40
"RS","Santiago","2020-03-23",1,"4317400","43",1
"RS","Cruzeiro do Sul","2020-03-23",1,"4306205","43",1
"RS","Capão da Canoa","2020-03-23",1,"4304630","43",1
"RS","Canoas","2020-03-23",2,"4304606","43",5
"RS","Bagé","2020-03-23",1,"4301602","43",7
"RS","Rio Grande","2020-03-23",1,"4315602","43",1
"RS","Sapiranga","2020-03-23",1,"4319901","43",1
"RS","Santa Maria","2020-03-23",1,"4316907","43",2
"RS","Sant'Ana do Livramento","2020-03-23",1,"4317103","43",1
"RS","Porto Alegre","2020-03-23",1,"4314902","43",41
"RS","Porto Alegre","2020-03-24",6,"4314902","43",47
"RS","Torres","2020-03-24",2,"4321501","43",5
"RS","Serafina Corrêa","2020-03-24",1,"4320404","43",2
"RS","Paraí","2020-03-24",1,"4314001","43",1
"RS","Lajeado","2020-03-24",2,"4311403","43",5
"RS","Garibaldi","2020-03-24",1,"4308607","43",1
"RS","Capão da Canoa","2020-03-24",1,"4304630","43",2
"RS","Canoas","2020-03-24",1,"4304606","43",6
"RS","Anta Gorda","2020-03-24",1,"4300703","43",1
"RS","Porto Alegre","2020-03-25",40,"4314902","43",87
"RS","Gravataí","2020-03-25",1,"4309209","43",1
"RS","Cerro Grande do Sul","2020-03-25",1,"4305173","43",1
"RS","Pelotas","2020-03-25",1,"4314407","43",1
"RS","Dom Pedrito","2020-03-25",1,"4306601","43",1
"RS","Sapiranga","2020-03-25",1,"4319901","43",2
"RS","Rio Grande","2020-03-25",1,"4315602","43",2
"RS","Anta Gorda","2020-03-25",1,"4300703","43",2
"RS","Caxias do Sul","2020-03-25",1,"4305108","43",3
"RS","Sant'Ana do Livramento","2020-03-25",1,"4317103","43",2
"RS","Torres","2020-03-25",1,"4321501","43",6
