"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Balneário Arroio do Silva",1,0
"Balneário Camboriú",7,0
"Belo Horizonte",0,6
"Betim",0,2
"Blumenau",9,0
"Boa Esperança",0,1
"Braço do Norte",9,0
"Camboriú",2,0
"Canelinha",1,0
"Castanhal",0,1
"Chapecó",2,0
"Criciúma",11,0
"Divinópolis",0,1
"Feira de Santana",0,1
"Florianópolis",16,0
"Gaspar",1,0
"Governador Valadares",0,1
"Gravatal",3,0
"Imbituba",4,0
"Imperatriz",0,1
"Itabuna",0,1
"Itaituba",0,1
"Itajaí",12,0
"Içara",1,0
"Jaguaruna",3,0
"Jaraguá do Sul",2,0
"Joinville",5,0
"Lagoa da Prata",0,1
"Laguna",1,0
"Mossoró",0,1
"Natal",0,4
"Navegantes",3,0
"Nova Lima",0,4
"Não informado",46,6
"Pomerode",1,0
"Porto Belo",2,0
"Porto Seguro",0,2
"Rancho Queimado",2,0
"Salvador",0,6
"São José",5,0
"São Ludgero",1,0
"São Luís",0,1
"São Pedro de Alcântara",1,0
"Tijucas",1,0
"Tubarão",8,0
