"state","city_name","date","new_cases","city_cod","state_cod","count"
"SC","Florianópolis","2020-03-12",2,"4205407","42",2
"SC","Joinville","2020-03-13",1,"4209102","42",1
"SC","Rancho Queimado","2020-03-14",2,"4214300","42",2
"SC","Braço do Norte","2020-03-15",1,"4202800","42",1
"SC","Florianópolis","2020-03-16",1,"4205407","42",3
"SC","Tubarão","2020-03-18",2,"4218707","42",2
"SC","Balneário Camboriú","2020-03-18",2,"4202008","42",2
"SC","Braço do Norte","2020-03-18",1,"4202800","42",2
"SC","Florianópolis","2020-03-18",2,"4205407","42",5
"SC","Joinville","2020-03-19",1,"4209102","42",2
"SC","Balneário Camboriú","2020-03-19",2,"4202008","42",4
"SC","Braço do Norte","2020-03-19",2,"4202800","42",4
"SC","Florianópolis","2020-03-19",1,"4205407","42",6
"SC","São José","2020-03-19",1,"4216602","42",1
"SC","Navegantes","2020-03-20",1,"4211306","42",1
"SC","Chapecó","2020-03-20",1,"4204202","42",1
"SC","Joinville","2020-03-20",1,"4209102","42",3
"SC","Tubarão","2020-03-20",4,"4218707","42",6
"SC","Pomerode","2020-03-20",1,"4213203","42",1
"SC","Criciúma","2020-03-20",3,"4204608","42",3
"SC","Itajaí","2020-03-20",1,"4208203","42",1
"SC","Imbituba","2020-03-20",2,"4207304","42",2
"SC","Jaraguá do Sul","2020-03-20",1,"4208906","42",1
"SC","Florianópolis","2020-03-20",4,"4205407","42",10
"SC","São José","2020-03-21",1,"4216602","42",2
"SC","Itajaí","2020-03-21",5,"4208203","42",6
"SC","Jaguaruna","2020-03-21",1,"4208807","42",1
"SC","Chapecó","2020-03-21",1,"4204202","42",2
"SC","Joinville","2020-03-21",1,"4209102","42",4
"SC","Criciúma","2020-03-21",3,"4204608","42",6
"SC","Braço do Norte","2020-03-21",2,"4202800","42",6
"SC","Balneário Camboriú","2020-03-21",2,"4202008","42",6
"SC","Gravatal","2020-03-21",1,"4206207","42",1
"SC","Jaguaruna","2020-03-22",1,"4208807","42",2
"SC","Blumenau","2020-03-22",6,"4202404","42",6
"SC","São José","2020-03-22",1,"4216602","42",3
"SC","Criciúma","2020-03-22",1,"4204608","42",7
"SC","Itajaí","2020-03-22",1,"4208203","42",7
"SC","Braço do Norte","2020-03-22",1,"4202800","42",7
"SC","Içara","2020-03-23",1,"4207007","42",1
"SC","Gaspar","2020-03-23",1,"4205902","42",1
"SC","Porto Belo","2020-03-23",2,"4213500","42",2
"SC","Jaraguá do Sul","2020-03-23",1,"4208906","42",2
"SC","Gravatal","2020-03-23",1,"4206207","42",2
"SC","São José","2020-03-23",1,"4216602","42",4
"SC","Blumenau","2020-03-23",1,"4202404","42",7
"SC","Tubarão","2020-03-23",1,"4218707","42",7
"SC","Criciúma","2020-03-23",2,"4204608","42",9
"SC","Braço do Norte","2020-03-23",2,"4202800","42",9
"SC","Florianópolis","2020-03-23",5,"4205407","42",15
"SC","Tijucas","2020-03-24",1,"4218004","42",1
"SC","Laguna","2020-03-24",1,"4209409","42",1
"SC","Navegantes","2020-03-24",2,"4211306","42",3
"SC","Jaguaruna","2020-03-24",1,"4208807","42",3
"SC","Imbituba","2020-03-24",2,"4207304","42",4
"SC","São José","2020-03-24",1,"4216602","42",5
"SC","Balneário Camboriú","2020-03-24",1,"4202008","42",7
"SC","Tubarão","2020-03-24",1,"4218707","42",8
"SC","Itajaí","2020-03-24",3,"4208203","42",10
"SC","Florianópolis","2020-03-24",1,"4205407","42",16
"SC","São Pedro de Alcântara","2020-03-25",1,"4217253","42",1
"SC","São Ludgero","2020-03-25",1,"4217006","42",1
"SC","Joinville","2020-03-25",1,"4209102","42",5
"SC","Itajaí","2020-03-25",2,"4208203","42",12
"SC","Gravatal","2020-03-25",1,"4206207","42",3
"SC","Criciúma","2020-03-25",2,"4204608","42",11
"SC","Canelinha","2020-03-25",1,"4203709","42",1
"SC","Camboriú","2020-03-25",2,"4203204","42",2
"SC","Blumenau","2020-03-25",2,"4202404","42",9
"SC","Balneário Arroio do Silva","2020-03-25",1,"4201950","42",1
