"state","city_name","date","new_cases","count"
"SC","Balneário Arroio do Silva","2020-03-25",1,1
"SC","Balneário Camboriú","2020-03-18",2,2
"SC","Balneário Camboriú","2020-03-19",2,4
"SC","Balneário Camboriú","2020-03-21",2,6
"SC","Balneário Camboriú","2020-03-24",1,7
"SC","Blumenau","2020-03-22",6,6
"SC","Blumenau","2020-03-23",1,7
"SC","Blumenau","2020-03-25",2,9
"SC","Braço do Norte","2020-03-15",1,1
"SC","Braço do Norte","2020-03-18",1,2
"SC","Braço do Norte","2020-03-19",2,4
"SC","Braço do Norte","2020-03-21",2,6
"SC","Braço do Norte","2020-03-22",1,7
"SC","Braço do Norte","2020-03-23",2,9
"SC","Camboriú","2020-03-25",2,2
"SC","Canelinha","2020-03-25",1,1
"SC","Chapecó","2020-03-20",1,1
"SC","Chapecó","2020-03-21",1,2
"SC","Criciúma","2020-03-20",3,3
"SC","Criciúma","2020-03-21",3,6
"SC","Criciúma","2020-03-22",1,7
"SC","Criciúma","2020-03-23",2,9
"SC","Criciúma","2020-03-25",2,11
"SC","Florianópolis","2020-03-12",2,2
"SC","Florianópolis","2020-03-16",1,3
"SC","Florianópolis","2020-03-18",2,5
"SC","Florianópolis","2020-03-19",1,6
"SC","Florianópolis","2020-03-20",4,10
"SC","Florianópolis","2020-03-23",5,15
"SC","Florianópolis","2020-03-24",1,16
"SC","Gaspar","2020-03-23",1,1
"SC","Gravatal","2020-03-21",1,1
"SC","Gravatal","2020-03-23",1,2
"SC","Gravatal","2020-03-25",1,3
"SC","Imbituba","2020-03-20",2,2
"SC","Imbituba","2020-03-24",2,4
"SC","Itajaí","2020-03-20",1,1
"SC","Itajaí","2020-03-21",5,6
"SC","Itajaí","2020-03-22",1,7
"SC","Itajaí","2020-03-24",3,10
"SC","Itajaí","2020-03-25",2,12
"SC","Içara","2020-03-23",1,1
"SC","Jaguaruna","2020-03-21",1,1
"SC","Jaguaruna","2020-03-22",1,2
"SC","Jaguaruna","2020-03-24",1,3
"SC","Jaraguá do Sul","2020-03-20",1,1
"SC","Jaraguá do Sul","2020-03-23",1,2
"SC","Joinville","2020-03-13",1,1
"SC","Joinville","2020-03-19",1,2
"SC","Joinville","2020-03-20",1,3
"SC","Joinville","2020-03-21",1,4
"SC","Joinville","2020-03-25",1,5
"SC","Laguna","2020-03-24",1,1
"SC","Navegantes","2020-03-20",1,1
"SC","Navegantes","2020-03-24",2,3
"SC","Não informado","2020-03-25",46,46
"SC","Pomerode","2020-03-20",1,1
"SC","Porto Belo","2020-03-23",2,2
"SC","Rancho Queimado","2020-03-14",2,2
"SC","São José","2020-03-19",1,1
"SC","São José","2020-03-21",1,2
"SC","São José","2020-03-22",1,3
"SC","São José","2020-03-23",1,4
"SC","São José","2020-03-24",1,5
"SC","São Ludgero","2020-03-25",1,1
"SC","São Pedro de Alcântara","2020-03-25",1,1
"SC","Tijucas","2020-03-24",1,1
"SC","Tubarão","2020-03-18",2,2
"SC","Tubarão","2020-03-20",4,6
"SC","Tubarão","2020-03-23",1,7
"SC","Tubarão","2020-03-24",1,8
