"city_name","total_casos","new_cases"
"Alagoinhas",0,1
"Ananindeua",0,2
"Barueri",1,0
"Belo Horizonte",0,6
"Betim",0,2
"Boa Esperança",0,1
"Caieiras",1,0
"Campinas",4,0
"Carapicuíba",2,0
"Castanhal",0,1
"Cotia",6,0
"Divinópolis",0,1
"Embu das Artes",1,0
"Feira de Santana",0,1
"Ferraz de Vasconcelos",1,0
"Governador Valadares",0,1
"Guarulhos",5,0
"Hortolândia",2,0
"Imperatriz",0,1
"Iracemápolis",1,0
"Itabuna",0,1
"Itaituba",0,1
"Jaguariúna",1,0
"Jundiaí",1,0
"Lagoa da Prata",0,1
"Mauá",2,0
"Mogi das Cruzes",4,0
"Mossoró",0,1
"Natal",0,4
"Nova Lima",0,4
"Não informado",7,6
"Osasco",3,0
"Porto Seguro",0,2
"Poá",1,0
"Ribeirão Pires",1,0
"Rio Claro",1,0
"Salvador",0,6
"Santana de Parnaíba",4,0
"Santo André",17,0
"Suzano",1,0
"São Bernardo do Campo",13,0
"São Caetano do Sul",16,0
"São José do Rio Preto",1,0
"São José dos Campos",2,0
"São Luís",0,1
"São Paulo",722,0
"São Sebastião",2,0
"Taboão da Serra",1,0
"Taubaté",1,0
"Valinhos",1,0
"Vargem Grande Paulista",1,0
