"state","city_name","date","new_cases","city_cod","state_cod","count"
"SP","São Paulo","2020-02-26",1,"3550308","35",1
"SP","São Paulo","2020-02-29",1,"3550308","35",2
"SP","São Paulo","2020-03-04",1,"3550308","35",3
"SP","São Paulo","2020-03-05",3,"3550308","35",6
"SP","São Paulo","2020-03-06",4,"3550308","35",10
"SP","São Paulo","2020-03-07",2,"3550308","35",12
"SP","Santana de Parnaíba","2020-03-07",1,"3547304","35",1
"SP","São Paulo","2020-03-08",3,"3550308","35",15
"SP","São Paulo","2020-03-10",3,"3550308","35",18
"SP","São Paulo","2020-03-11",11,"3550308","35",29
"SP","Ferraz de Vasconcelos","2020-03-12",1,"3515707","35",1
"SP","São Paulo","2020-03-12",15,"3550308","35",44
"SP","São Paulo","2020-03-13",9,"3550308","35",53
"SP","Carapicuíba","2020-03-13",1,"3510609","35",1
"SP","São Paulo","2020-03-14",9,"3550308","35",62
"SP","São Paulo","2020-03-15",70,"3550308","35",132
"SP","São Bernardo do Campo","2020-03-15",1,"3548708","35",1
"SP","São Paulo","2020-03-16",13,"3550308","35",145
"SP","Mauá","2020-03-16",1,"3529401","35",1
"SP","Santo André","2020-03-16",1,"3547809","35",1
"SP","São Caetano do Sul","2020-03-16",1,"3548807","35",1
"SP","São Paulo","2020-03-17",11,"3550308","35",156
"SP","Guarulhos","2020-03-17",1,"3518800","35",1
"SP","Cotia","2020-03-18",1,"3513009","35",1
"SP","Não informado","2020-03-18",7,"None","None",9
"SP","São Paulo","2020-03-18",59,"3550308","35",215
"SP","Santo André","2020-03-18",1,"3547809","35",2
"SP","São Bernardo do Campo","2020-03-18",2,"3548708","35",3
"SP","Jaguariúna","2020-03-18",1,"3524709","35",1
"SP","São José do Rio Preto","2020-03-18",1,"3549805","35",1
"SP","Campinas","2020-03-18",1,"3509502","35",1
"SP","São José dos Campos","2020-03-18",1,"3549904","35",1
"SP","Barueri","2020-03-18",1,"3505708","35",1
"SP","Osasco","2020-03-18",1,"3534401","35",1
"SP","São Paulo","2020-03-19",43,"3550308","35",258
"SP","Vargem Grande Paulista","2020-03-19",1,"3556453","35",1
"SP","Taubaté","2020-03-19",1,"3554102","35",1
"SP","Suzano","2020-03-19",1,"3552502","35",1
"SP","São Paulo","2020-03-20",100,"3550308","35",358
"SP","São Caetano do Sul","2020-03-20",3,"3548807","35",4
"SP","São Bernardo do Campo","2020-03-20",1,"3548708","35",4
"SP","Santo André","2020-03-20",1,"3547809","35",3
"SP","Santana de Parnaíba","2020-03-20",1,"3547304","35",2
"SP","Mogi das Cruzes","2020-03-20",1,"3530607","35",1
"SP","Hortolândia","2020-03-20",1,"3519071","35",1
"SP","Cotia","2020-03-20",1,"3513009","35",2
"SP","Carapicuíba","2020-03-20",1,"3510609","35",2
"SP","São Paulo","2020-03-21",51,"3550308","35",409
"SP","Osasco","2020-03-21",2,"3534401","35",3
"SP","Campinas","2020-03-21",2,"3509502","35",3
"SP","Valinhos","2020-03-21",1,"3556206","35",1
"SP","Taboão da Serra","2020-03-21",1,"3552809","35",1
"SP","Santana de Parnaíba","2020-03-21",1,"3547304","35",3
"SP","Rio Claro","2020-03-21",1,"3543907","35",1
"SP","Ribeirão Pires","2020-03-21",1,"3543303","35",1
"SP","Poá","2020-03-21",1,"3539806","35",1
"SP","Embu das Artes","2020-03-21",1,"3515004","35",1
"SP","Caieiras","2020-03-21",1,"3509007","35",1
"SP","São Paulo","2020-03-22",171,"3550308","35",580
"SP","São Sebastião","2020-03-22",1,"3550704","35",1
"SP","São Paulo","2020-03-23",91,"3550308","35",671
"SP","São Caetano do Sul","2020-03-23",7,"3548807","35",11
"SP","São Bernardo do Campo","2020-03-23",5,"3548708","35",9
"SP","Santo André","2020-03-23",4,"3547809","35",7
"SP","São José dos Campos","2020-03-23",1,"3549904","35",2
"SP","São Sebastião","2020-03-23",1,"3550704","35",2
"SP","Guarulhos","2020-03-23",4,"3518800","35",5
"SP","Jundiaí","2020-03-23",1,"3525904","35",1
"SP","São Paulo","2020-03-24",37,"3550308","35",708
"SP","Mogi das Cruzes","2020-03-24",3,"3530607","35",4
"SP","Mauá","2020-03-24",1,"3529401","35",2
"SP","Cotia","2020-03-24",4,"3513009","35",6
"SP","São Paulo","2020-03-25",14,"3550308","35",722
"SP","Iracemápolis","2020-03-25",1,"3521408","35",1
"SP","São Caetano do Sul","Não informado",5,"3548807","35",16
"SP","São Bernardo do Campo","Não informado",3,"3548708","35",13
"SP","São Bernardo do Campo","2020-03-24",1,"3548708","35",10
"SP","Não informado","2020-03-25",43,"None","None",52
"SP","Santana de Parnaíba","2020-03-25",1,"3547304","35",4
"SP","Campinas","2020-03-25",1,"3509502","35",4
"SP","Hortolândia","Não informado",1,"3519071","35",2
"SP","Santo André","Não informado",7,"3547809","35",17
"SP","Santo André","2020-03-24",3,"3547809","35",10
